"group","stress"
"Placebo",3.5602569088075
"Placebo",7.0947707802597
"Placebo",4.91238536495535
"Placebo",3.51396620736188
"Placebo",4.99689552168543
"Placebo",5.13117306073377
"Placebo",5.52452691677716
"Placebo",6.08610370244068
"Placebo",2.82440896157091
"Placebo",3.64026976195439
"Behavioral",7.87361647556886
"Behavioral",7.03257064211789
"Behavioral",6.76521907110133
"Behavioral",6.10057560919511
"Behavioral",5.25312973199994
"Behavioral",7.43137250042792
"Behavioral",5.79376128831284
"Behavioral",7.99512977459722
"Behavioral",9.1100481684237
"Behavioral",6.8864212414354
"Drug",4.09370774788248
"Drug",6.97820205384092
"Drug",6.22978140439675
"Drug",7.86341227171871
"Drug",5.89996471992648
"Drug",5.08565999957014
"Drug",4.82127857122359
"Drug",5.35543847278297
"Drug",6.09163147662491
"Drug",4.08637073682999
